Table 1-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Education, other ",190.0,195.0,215.0,425.0,325.0,248.0,282.0,309.0,317.0,340.0,370.0,94.7
Humanities and arts,2855.0,2721.0,2796.0,2810.0,2644.0,2572.0,2571.0,2418.0,2019.0,2270.0,2241.0,-21.5
Letters,941.0,894.0,936.0,931.0,869.0,853.0,826.0,802.0,702.0,787.0,764.0,-18.8
Foreign languages and literature,430.0,424.0,418.0,371.0,380.0,370.0,394.0,341.0,207.0,265.0,269.0,-37.4
History,486.0,482.0,480.0,495.0,420.0,435.0,383.0,374.0,315.0,354.0,339.0,-30.2
Philosophy and religious studies,258.0,236.0,238.0,271.0,219.0,233.0,240.0,205.0,209.0,222.0,219.0,-15.1
Music and performing arts,290.0,220.0,251.0,237.0,269.0,224.0,231.0,261.0,222.0,214.0,217.0,-25.2
"Humanities and arts, other",450.0,465.0,473.0,505.0,487.0,457.0,497.0,435.0,364.0,428.0,433.0,-3.8
Other non-science and engineering,902.0,884.0,910.0,890.0,1019.0,920.0,957.0,973.0,938.0,1049.0,1108.0,22.8
Communication,401.0,383.0,411.0,410.0,422.0,395.0,338.0,363.0,295.0,383.0,393.0,-2
Public administration and social services,315.0,315.0,318.0,307.0,330.0,338.0,377.0,366.0,343.0,332.0,387.0,22.9
"Non-science and engineering, other",186.0,186.0,181.0,173.0,267.0,187.0,242.0,244.0,300.0,334.0,328.0,76.3
