sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
RACETHMP,U_DEM_MULTIPLE_RACE_ETHNICITY_CAT_PUB,Race/ethnicity (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$ETHNCPM.
REFID,Z_REFERENCE_ID_NUMBER,Reference/ID number,SYSTEM,Derived within SESTAT,All respondents,$REFID.
REFYR,Z_SURVEY_YEAR,Survey year,SYSTEM,Data item developed by survey contractors; describes current year of survey,All respondents,FOUR.
SALARP,H_JOB_SALARY_ANN_PUB,Salary (annualized and recoded for public use),RECODE,"Before deductions, what was your BASIC ANNUAL SALARY on this job as of the week of [survey reference date]?  [Data has been annualized]","Working during the week of April 1, 2006",NUMDOL.
SRVMODE,Z_SURVEY_MODE,Survey mode,SYSTEM,Data item developed by survey contractors; describes mode of data collection completed by respondent,All respondents,$MODE.
SUPWK,F_JOB_SUPERVISE_WRK_IND,Supervised others in principal job indicator,A30,Did you supervise the work of others as part of the principal job you held during the week of [survey reference date]?,"Working during the week of April 1, 2006",$YESNO.
SURID,Z_SURVEY_IDENTIFIER,Survey identifier,SYSTEM,Data item developed by survey contractors; describes the survey used to collect the current year's data on the respondent,All respondents,$SURID.
TCDGCMP,N_ED_WORK_DEGREE_COMPLETED,Completed degree between [previous survey reference month/year] and [current survey reference month/year],D01,"Between [previous survey reference month/year] and [current survey month/year] did you complete another degree, such as a master's or another doctorate?",Took courses/enrolled in college/university between October 2003 and March 2006 (NSCG and SDR only),$YESNO.
WAACC,F_JOB_WRK_ACTVTY_ACCTNG,"Work activity on principal job (10% indicator): accounting, finance, contracts",A25.01,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Accounting, finance, contracts"")","Working during the week of April 1, 2006",$YESNO.
WAAPRSH,F_JOB_WRK_ACTVTY_APPLIED_RSCH,Work activity on principal job (10% indicator): applied research,A25.03,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Applied research - study directed toward gaining scientific knowledge to meet a recognized need"")","Working during the week of April 1, 2006",$YESNO.
WABRSH,F_JOB_WRK_ACTVTY_BASIC_RSCH,Work activity on principal job (10% indicator): basic research,A25.02,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Basic research - study directed toward gaining scientific knowledge primarily for its own sake"")","Working during the week of April 1, 2006",$YESNO.
WACOM,F_JOB_WRK_ACTVTY_COMPUTER,Work activity on principal job (10% indicator): computer applications,A25.06,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Computer programming, systems or applications development"")","Working during the week of April 1, 2006",$YESNO.
WADEV,F_JOB_WRK_ACTVTY_DEVELOPMT,Work activity on principal job (10% indicator): development,A25.04,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Development - using knowledge gained from research for the production of materials, devices"")","Working during the week of April 1, 2006",$YESNO.
WADSN,F_JOB_WRK_ACTVTY_DESIGN,Work activity on principal job (10% indicator): design,A25.05,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Design of equipment, processes, structures, models"")","Working during the week of April 1, 2006",$YESNO.
WAEMRL,F_JOB_WRK_ACTVTY_PERSONNEL,Work activity on principal job (10% indicator): human resources,A25.07,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Human resources - including recruiting, personnel development, training"")","Working during the week of April 1, 2006",$YESNO.
WAMGMT,F_JOB_WRK_ACTVTY_MGT,Work activity on principal job (10% indicator): managing or supervising people/project,A25.08,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Managing or supervising people or projects"")","Working during the week of April 1, 2006",$YESNO.
WAOT,F_JOB_WRK_ACTVTY_OTHR,Work activity on principal job (10% indicator): other,A25.14,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Other"")","Working during the week of April 1, 2006",$YESNO.
WAPRI,F_JOB_WRK_ACTIVITY_PRIMRY,Work activity spent most hours on in principal job,A26.1,"On which two activities in question A25 did you work the most hours during a typical week on this job? (Response to ""Activity most hours"")","Working during the week of April 1, 2006",$WRK2ACT.
WAPROD,F_JOB_WRK_ACTVTY_PRODUCTN,"Work activity on principal job (10% indicator): production, operations, maintenance",A25.09,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Production, operations, maintenance (e.g., chip production, operating lab equipment""))","Working during the week of April 1, 2006",$YESNO.
WAPRSM,F_JOB_WRK_ACTIVITY_PRIMRY_SUMRY,Summarized primary work activity,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$WRKSUM.
WAQM,F_JOB_WRK_ACTVTY_QUAL_MGT,Work activity on principal job (10% indicator): quality or productivity management,A25.12,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Quality or productivity management"")","Working during the week of April 1, 2006",$YESNO.
WASALE,F_JOB_WRK_ACTVTY_SALES,"Work activity on principal job (10% indicator): sales, purchasing, marketing",A25.11,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Sales, purchasing, marketing, customer service, public relations"")","Working during the week of April 1, 2006",$YESNO.
WASCSM,F_JOB_WRK_ACTIVITY_SECONDARY_SUMRY,Summarized secondary work activity,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$WRKSUM.
WASEC,F_JOB_WRK_ACTIVITY_SECONDARY,Work activity spent second most hours on in principal job,A26.2,"On which two activities in question A25 did you work the most hours during a typical week on this job? (Response to ""Activity second most hours"")","Working during the week of April 1, 2006",$WRK2ACT.
WASVC,F_JOB_WRK_ACTVTY_PROF_SERV,Work activity on principal job (10% indicator): professional services,A25.10,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Professional services (e.g., health care, couseling, financial services, legal services"")","Working during the week of April 1, 2006",$YESNO.
WATEA,F_JOB_WRK_ACTVTY_TEACH,Work activity on principal job (10% indicator): teaching,A25.13,"Which of the following work activities occupied at least 10 percent of your time during a typical work week on this job? (Response to ""Teaching"")","Working during the week of April 1, 2006",$YESNO.
WKSORG,F_JOB_WRK_OTHERS_SAME_ORG,Work on principal job:  work with others in same organization,A27.2,"In performing the principal job you held during the week of [survey reference date], did you... (Response to ""Work with others in the same organization (company, university, agency, etc.), but not the same group or team?"")","Working during the week of April 1, 2006",$YESNO.
WKSWKP,B_PRINCIPAL_JOB_WEEKS_PUB,Principal job salary:  weeks per year basis (recoded for public use),RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$JOBWKP.
WKTEAM,F_JOB_WRK_TEAM,Work on principal job:  work with immediate group or team,A27.1,"In performing the principal job you held during the week of [survey reference date], did you... (Response to ""Work with an immediate group or team?"")","Working during the week of April 1, 2006",$YESNO.
WKTRNI,G_JOB_TRAINING_WRK_RELTD_IND,Attended work-related training,C01,"During the past 12 months, did you attend any work-related training, such as workshops or seminars?","All respondents, except those who never worked",$YESNO.
WKUSORG,F_JOB_WRK_OTHERS_US_ORG,Work on principal job:  work with others in other US organization,A27.3,"In performing the principal job you held during the week of [survey reference date], did you... (Response to ""Work with individuals in other organizations in the U.S.?"")","Working during the week of April 1, 2006",$YESNO.
WRKG,A_JOB_STATUS_EMPLOYED_IND,Working for pay or profit during reference week,A01,Were you working for pay or profit during the week of [survey reference date]?,All respondents,$YESNO.
WRKGP,D_JOB_EMPLOYED_IND,"Employment status indicator, comparing current and previous reference weeks",B01,"Were you working for pay or profit during both of these time periods -- the week of [prior survey reference date], and the week of [survey reference date] ?","All respondents, except those who never worked (working respondents to the SDR and NSCG only)",$YESNO.
WTRCHOC,G_JOB_TRAINING_REAS_CHG_OCCUPAT_DIF,Reason for attending work-related training: facilitate occupation change to different field,C02.4,"For which of the following reasons did you take training during the past 12 months? (Response to ""To facilitate a change to a different occupational field"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTREASN,G_JOB_TRAINING_PRIMARY_REASON,Most important reason for taking work-related training,C03,What was your most important reason from question C2 for taking training?,"All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$TRNREAN.
WTREM,G_JOB_TRAINING_REAS_EMPLR_REQ,Reason for attending work-related training: required/expected by employer,C02.5,"For which of the following reasons did you take training during the past 12 months? (Response to ""Required or expected by employer"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTRLIC,G_JOB_TRAINING_REAS_LICENSING,Reason for attending work-related training: licensure/certification,C02.3,"For which of the following reasons did you take training during the past 12 months? (Response to ""For licensure or certification in your current occupational field"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTROPPS,G_JOB_TRAINING_REAS_OPPS_ADV_SALARY,Reason for attending work-related training: increase advancement opportunities in current occupation,C02.2,"For which of the following reasons did you take training during the past 12 months? (Response to ""To increase opportunities for promotion or advancement in your current occupational field"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTROT,G_JOB_TRAINING_REAS_OTHR,Reason for attending work-related training: other,C02.7,"For which of the following reasons did you take training during the past 12 months? (Response to ""Other"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTRPERS,G_JOB_TRAINING_REAS_PERS,Reason for attending work-related training:  leisure/personal interest,C02.6,"For which of the following reasons did you take training during the past 12 months?  (Response to ""For leisure or personal interest"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTRSKL,G_JOB_TRAINING_REAS_ACQ_SKILL,Reason for attending work-related training: acquire further skills/knowledge,C02.1,"For which of the following reasons did you take training during the past 12 months? (Response to ""To improve skills or knowledge in your current occupational field"")","All respondents, except those who never worked, who attended work-related workshops/seminars/other training",$YESNO.
WTSURVY,Z_WEIGHTING_FACTOR_SURVEY,Final survey-specific weight,SYSTEM,Derived within SESTAT from reported information.,All respondents,WGTFMT.
